model,component_count,components
operator,9,"CascadingRule,ClusterParseDefinition,ClusterScanCompletionHook,ClusterScanType,ParseDefinition,ScanCompletionHook,Scan,ScanType,ScheduledScan"
registry-creds,1,"ClusterPullSecret"
registry-creds,1,"ClusterPullSecret"
operator,1,"Rookout"
operator,1,"Rookout"
frp-operator,2,"Client,Upstream"
frp-operator,2,"Client,Upstream"
ngrok-operator,1,"Ngrok"
ngrok-operator,1,"Ngrok"
connect,1,"OnePasswordItem"
connect,1,"OnePasswordItem"
aerospike-kubernetes-operator,1,"AerospikeCluster"
aerospike-kubernetes-operator,1,"AerospikeCluster"
psmdb-operator,3,"PerconaServerMongoDBBackup,PerconaServerMongoDBRestore,PerconaServerMongoDB"
psmdb-operator,3,"PerconaServerMongoDBBackup,PerconaServerMongoDBRestore,PerconaServerMongoDB"
apisix,1,"ApisixRoute"
apisix,1,"ApisixRoute"
config-connector-templater,2,"PubSubSubscriptionTemplate,PubSubTopicTemplate"
config-connector-templater,2,"PubSubSubscriptionTemplate,PubSubTopicTemplate"
pure-pso,1,"Intrusion"
pure-pso,1,"Intrusion"
step-issuer,2,"StepClusterIssuer,StepIssuer"
step-issuer,2,"StepClusterIssuer,StepIssuer"
fluent-operator,5,"Collector,Filter,FluentBitConfig,Output,Parser"
fluent-operator,5,"Collector,Filter,FluentBitConfig,Output,Parser"
triggers,4,"ClusterTriggerBinding,EventListener,TriggerBinding,TriggerTemplate"
triggers,4,"ClusterTriggerBinding,EventListener,TriggerBinding,TriggerTemplate"
k8s-object-syncer,1,"ObjectSync"
k8s-object-syncer,1,"ObjectSync"
kyverno-operator,1,"KyvernoOperator"
kyverno-operator,1,"KyvernoOperator"
crossplane-types,10,"CompositeResourceDefinition,Composition,Provider,ConfigurationRevision,Configuration,ProviderRevision,Provider,KubernetesApplicationResource,KubernetesApplication,KubernetesTarget"
crossplane-types,10,"CompositeResourceDefinition,Composition,Provider,ConfigurationRevision,Configuration,ProviderRevision,Provider,KubernetesApplicationResource,KubernetesApplication,KubernetesTarget"
capsule,4,"CapsuleConfiguration,GlobalTenantResource,Tenant,TenantResource"
capsule,4,"CapsuleConfiguration,GlobalTenantResource,Tenant,TenantResource"
capsule-proxy,1,"ProxySetting"
capsule-proxy,1,"ProxySetting"
mysql-operator,4,"InnoDBCluster,MySQLBackup,ClusterKopfPeering,KopfPeering"
mysql-operator,4,"InnoDBCluster,MySQLBackup,ClusterKopfPeering,KopfPeering"
opentelemetry-operator,1,"OpAMPBridge"
opentelemetry-operator,1,"OpAMPBridge"
kvdi,4,"VDICluster,Session,Template,VDIRole"
kvdi,4,"VDICluster,Session,Template,VDIRole"
bottlerocket-update-operator,1,"BottlerocketShadow"
bottlerocket-update-operator,1,"BottlerocketShadow"
tyk-operator,8,"ApiDefinition,APIDescription,OperatorContext,PortalAPICatalogue,PortalConfig,SecurityPolicy,SubGraph,SuperGraph"
tyk-operator,8,"ApiDefinition,APIDescription,OperatorContext,PortalAPICatalogue,PortalConfig,SecurityPolicy,SubGraph,SuperGraph"
k8stcpmap-controller,1,"TCPIngressMapping"
k8stcpmap-controller,1,"TCPIngressMapping"
jenkins-operator,1,"Jenkins"
jenkins-operator,1,"Jenkins"
dast-operator,1,"Dast"
dast-operator,1,"Dast"
pulsar-operator,4,"BookKeeperCluster,PulsarBroker,PulsarProxy,ZooKeeperCluster"
pulsar-operator,4,"BookKeeperCluster,PulsarBroker,PulsarProxy,ZooKeeperCluster"
k8s-aws-iam-controller,2,"TrustPolicyStatement,RoleUsagePolicy"
k8s-aws-iam-controller,2,"TrustPolicyStatement,RoleUsagePolicy"
datadog-operator,2,"DatadogAgent,DatadogMetric"
datadog-operator,2,"DatadogAgent,DatadogMetric"
newrelic-operator,5,"AlertChannel,AlertPolicy,Dashboard,Data,Monitor"
newrelic-operator,5,"AlertChannel,AlertPolicy,Dashboard,Data,Monitor"
medusa-operator,2,"CassandraBackup,CassandraRestore"
medusa-operator,2,"CassandraBackup,CassandraRestore"
canary-operator,1,"Canary"
canary-operator,1,"Canary"
mozalert-controller,1,"Check"
mozalert-controller,1,"Check"
pyrra,1,"ServiceLevelObjective"
pyrra,1,"ServiceLevelObjective"
oam-kubernetes-runtime,1,"ContainerizedWorkload"
oam-kubernetes-runtime,1,"ContainerizedWorkload"
knative-serving,4,"Configuration,Revision,Route,Service"
knative-serving,4,"Configuration,Revision,Route,Service"
awx-operator,3,"AWXBackup,AWXRestore,AWX"
awx-operator,3,"AWXBackup,AWXRestore,AWX"
thanos-operator,6,"ObjectStore,Receiver,StoreEndpoint,Thanos,ThanosEndpoint,ThanosPeer"
thanos-operator,6,"ObjectStore,Receiver,StoreEndpoint,Thanos,ThanosEndpoint,ThanosPeer"
legend,1,"GrafanaDashboard"
legend,1,"GrafanaDashboard"
rate-limit-operator,1,"RateLimit"
rate-limit-operator,1,"RateLimit"
gatekeeper,2,"Assign,AssignMetadata"
gatekeeper,2,"Assign,AssignMetadata"
knative,11,"ApiServerSource,Broker,Channel,ContainerSource,EventType,Parallel,PingSource,Sequence,SinkBinding,Subscription,Trigger"
knative,11,"ApiServerSource,Broker,Channel,ContainerSource,EventType,Parallel,PingSource,Sequence,SinkBinding,Subscription,Trigger"
vault-operator,1,"Vault"
vault-operator,1,"Vault"
kubefed,4,"DNSEndpoint,Domain,IngressDNSRecord,ServiceDNSRecord"
kubefed,4,"DNSEndpoint,Domain,IngressDNSRecord,ServiceDNSRecord"
pxc-operator,3,"PerconaXtraDBClusterBackup,PerconaXtraDBClusterRestore,PerconaXtraDBCluster"
pxc-operator,3,"PerconaXtraDBClusterBackup,PerconaXtraDBClusterRestore,PerconaXtraDBCluster"
kubeav,2,"ScheduledVirusScan,VirusScan"
kubeav,2,"ScheduledVirusScan,VirusScan"
umbrella,5,"ClusterTask,Pipeline,PipelineRun,Task,TaskRun"
umbrella,5,"ClusterTask,Pipeline,PipelineRun,Task,TaskRun"
theia,1,"RecommendedNetworkPolicy"
theia,1,"RecommendedNetworkPolicy"
k8ssandra-operator,13,"ClientConfig,K8ssandraCluster,K8ssandraTask,MedusaBackupJob,MedusaBackup,MedusaBackupSchedule,MedusaRestoreJob,MedusaTask,Reaper,ReplicatedSecret,Stargate,CassandraDatacenter,CassandraTask"
k8ssandra-operator,13,"ClientConfig,K8ssandraCluster,K8ssandraTask,MedusaBackupJob,MedusaBackup,MedusaBackupSchedule,MedusaRestoreJob,MedusaTask,Reaper,ReplicatedSecret,Stargate,CassandraDatacenter,CassandraTask"
nats-operator,2,"NatsCluster,NatsServiceRole"
nats-operator,2,"NatsCluster,NatsServiceRole"
kube-starrocks,1,"StarRocksCluster"
kube-starrocks,1,"StarRocksCluster"
harbor-operator,6,"InstanceChartRepository,Instance,Project,Registry,Replication,User"
harbor-operator,6,"InstanceChartRepository,Instance,Project,Registry,Replication,User"
brudi-operator,2,"Backup,Restore"
brudi-operator,2,"Backup,Restore"
kube-mail,2,"EmailPolicy,SMTPServer"
kube-mail,2,"EmailPolicy,SMTPServer"
redis-operator,2,"RedisCluster,Redis"
redis-operator,2,"RedisCluster,Redis"
camel-k,8,"Build,CamelCatalog,IntegrationKit,IntegrationPlatform,Integration,KameletBinding,Kamelet,Pipe"
camel-k,8,"Build,CamelCatalog,IntegrationKit,IntegrationPlatform,Integration,KameletBinding,Kamelet,Pipe"
rustrial-aws-eks-iam-auth-controller,1,"IAMIdentityMapping"
rustrial-aws-eks-iam-auth-controller,1,"IAMIdentityMapping"
kubernetes-secret-generator,3,"BasicAuth,SSHKeyPair,StringSecret"
kubernetes-secret-generator,3,"BasicAuth,SSHKeyPair,StringSecret"
one-eye,1,"Observer"
one-eye,1,"Observer"
pulsar-resources-operator,6,"PulsarConnection,PulsarGeoReplication,PulsarNamespace,PulsarPermission,PulsarTenant,PulsarTopic"
pulsar-resources-operator,6,"PulsarConnection,PulsarGeoReplication,PulsarNamespace,PulsarPermission,PulsarTenant,PulsarTopic"
netris-operator,24,"AllocationMeta,Allocation,BGPMeta,BGP,ControllerMeta,Controller,InventoryProfileMeta,InventoryProfile,L4LBMeta,L4LB,LinkMeta,Link,NatMeta,Nat,SiteMeta,Site,SoftgateMeta,Softgate,SubnetMeta,Subnet,Switch,SwitchMeta,VNetMeta,VNet"
netris-operator,24,"AllocationMeta,Allocation,BGPMeta,BGP,ControllerMeta,Controller,InventoryProfileMeta,InventoryProfile,L4LBMeta,L4LB,LinkMeta,Link,NatMeta,Nat,SiteMeta,Site,SoftgateMeta,Softgate,SubnetMeta,Subnet,Switch,SwitchMeta,VNetMeta,VNet"
armory-spinnaker-operator,2,"ArmoryAccount,SpinnakerService"
armory-spinnaker-operator,2,"ArmoryAccount,SpinnakerService"
vault-config-operator,28,"AuthEngineMount,DatabaseSecretEngineConfig,DatabaseSecretEngineRole,DatabaseSecretEngineStaticRole,GitHubSecretEngineConfig,GitHubSecretEngineRole,GroupAlias,Group,JWTOIDCAuthEngineConfig,JWTOIDCAuthEngineRole,KubernetesAuthEngineConfig,KubernetesAuthEngineRole,KubernetesSecretEngineConfig,KubernetesSecretEngineRole,LDAPAuthEngineConfig,LDAPAuthEngineGroup,PasswordPolicy,PKISecretEngineConfig,PKISecretEngineRole,Policy,QuaySecretEngineConfig,QuaySecretEngineRole,QuaySecretEngineStaticRole,RabbitMQSecretEngineConfig,RabbitMQSecretEngineRole,RandomSecret,SecretEngineMount,VaultSecret"
vault-config-operator,28,"AuthEngineMount,DatabaseSecretEngineConfig,DatabaseSecretEngineRole,DatabaseSecretEngineStaticRole,GitHubSecretEngineConfig,GitHubSecretEngineRole,GroupAlias,Group,JWTOIDCAuthEngineConfig,JWTOIDCAuthEngineRole,KubernetesAuthEngineConfig,KubernetesAuthEngineRole,KubernetesSecretEngineConfig,KubernetesSecretEngineRole,LDAPAuthEngineConfig,LDAPAuthEngineGroup,PasswordPolicy,PKISecretEngineConfig,PKISecretEngineRole,Policy,QuaySecretEngineConfig,QuaySecretEngineRole,QuaySecretEngineStaticRole,RabbitMQSecretEngineConfig,RabbitMQSecretEngineRole,RandomSecret,SecretEngineMount,VaultSecret"
gloo-mesh,22,"IstioInstallation,Destination,Workload,Mesh,KubernetesCluster,WasmDeployment,RateLimitClientConfig,RateLimitServerConfig,VirtualDestination,VirtualGateway,VirtualHost,RouteTable,ServiceDependency,CertificateVerification,TrafficPolicy,AccessPolicy,VirtualMesh,AccessLogRecord,Role,RoleBinding,Settings,Dashboard"
gloo-mesh,22,"IstioInstallation,Destination,Workload,Mesh,KubernetesCluster,WasmDeployment,RateLimitClientConfig,RateLimitServerConfig,VirtualDestination,VirtualGateway,VirtualHost,RouteTable,ServiceDependency,CertificateVerification,TrafficPolicy,AccessPolicy,VirtualMesh,AccessLogRecord,Role,RoleBinding,Settings,Dashboard"
kong,1,"KongUpstreamPolicy"
kong,1,"KongUpstreamPolicy"
gloo,14,"AuthConfig,Gateway,MatchableHttpGateway,MatchableTcpGateway,RouteOption,RouteTable,VirtualHostOption,VirtualService,Proxy,Settings,Upstream,UpstreamGroup,GraphQLApi,RateLimitConfig"
gloo,14,"AuthConfig,Gateway,MatchableHttpGateway,MatchableTcpGateway,RouteOption,RouteTable,VirtualHostOption,VirtualService,Proxy,Settings,Upstream,UpstreamGroup,GraphQLApi,RateLimitConfig"
kusk-gateway,3,"API,EnvoyFleet,StaticRoute"
kusk-gateway,3,"API,EnvoyFleet,StaticRoute"
postgres-controller,1,"PostgresDatabase"
postgres-controller,1,"PostgresDatabase"
nirmata-aws-adapter,1,"AWSConfig"
nirmata-aws-adapter,1,"AWSConfig"
scheduler-plugins,3,"ElasticQuota,PodGroup,NodeResourceTopology"
scheduler-plugins,3,"ElasticQuota,PodGroup,NodeResourceTopology"
gooddata-cn,2,"KopfPeering,Organization"
gooddata-cn,2,"KopfPeering,Organization"
kubeflow,8,"ScheduledWorkflow,Viewer,Notebook,PodDefault,Profile,Tensorboard,MPIJob,AuthCode"
kubeflow,8,"ScheduledWorkflow,Viewer,Notebook,PodDefault,Profile,Tensorboard,MPIJob,AuthCode"
grafana-operator,1,"GrafanaFolder"
grafana-operator,1,"GrafanaFolder"
vald-helm-operator,2,"ValdHelmOperatorRelease,ValdRelease"
vald-helm-operator,2,"ValdHelmOperatorRelease,ValdRelease"
istio-operator,4,"IstioControlPlane,PeerIstioControlPlane,IstioMesh,IstioMeshGateway"
istio-operator,4,"IstioControlPlane,PeerIstioControlPlane,IstioMesh,IstioMeshGateway"
webhookrelay-operator,1,"WebhookRelayForward"
webhookrelay-operator,1,"WebhookRelayForward"
rustrial-k8s-gitops-secrets-controller,2,"KeyEncryptionKeyPolicy,SealedSecret"
rustrial-k8s-gitops-secrets-controller,2,"KeyEncryptionKeyPolicy,SealedSecret"
aperture-agent,1,"Agent"
aperture-agent,1,"Agent"
argocd-operator,2,"ArgoCDExport,ArgoCD"
argocd-operator,2,"ArgoCDExport,ArgoCD"
aperture-controller,2,"Controller,Policy"
aperture-controller,2,"Controller,Policy"
external-secrets-operator,3,"ExternalBackend,ExternalConfigMap,ExternalSecret"
external-secrets-operator,3,"ExternalBackend,ExternalConfigMap,ExternalSecret"
kangal,1,"LoadTest"
kangal,1,"LoadTest"
integrated-service-operator,1,"ServiceInstance"
integrated-service-operator,1,"ServiceInstance"
k8sci,5,"Condition,PipelineResource,Run,Trigger,Extension"
k8sci,5,"Condition,PipelineResource,Run,Trigger,Extension"
kanister-operator,4,"ActionSet,Blueprint,Profile,RepositoryServer"
kanister-operator,4,"ActionSet,Blueprint,Profile,RepositoryServer"
