"NOTE: When adding new keys and keychains, make sure the same queries present in migration is added to [install/content/permissions_keys_keyschains.sql) file.",,,,,Entitlement,,,,,,Authorization,,,,,,,Keychains,,Keys,,,,,
Theme,Category,Function,Feature,Primary Persona,awsq,Subscription Tier,Tech,Version,Engineer,Pricing page,User,Team Admin,Org Billing Manager,Org Admin,Provider Admin,Curator,MeshMap,Keychain ID,SQL,Key ID,SQL,Inserted,Local Provider,,
Identity & Access Management,Multiple Organizations,Enforcement of tenancy,,Platform Engineer,Closed,Enterprise,Meshery Cloud,v0.8.0,,,,,,,X,,,,,4b46c866-0d9e-43e6-8810-b0f8df9d0f8c,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('4b46c866-0d9e-43e6-8810-b0f8df9d0f8c','','Identity & Access Management','Multiple Organizations','Enforcement of tenancy','', NOW(), uuid_nil())",,FALSE,,
Identity & Access Management,Multiple Organizations,Hierarchical permissioning,,Platform Engineer,Closed,Enterprise,OPA,v0.9.0,,,,,,,X,,,,,6a31b997-9162-4022-87ae-c031bfba53d5,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('6a31b997-9162-4022-87ae-c031bfba53d5','','Identity & Access Management','Multiple Organizations','Hierarchical permissioning','', NOW(), uuid_nil())",,FALSE,,
Identity & Access Management,Authentication,OAuth,,Platform Engineer,Closed,Free,Meshery Cloud,v0.2.0,,,,,,,X,,,,,36372d4f-5aea-4c2e-9938-59d7534bfc1b,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('36372d4f-5aea-4c2e-9938-59d7534bfc1b','','Identity & Access Management','Authentication','OAuth','', NOW(), uuid_nil())",,FALSE,,
Identity & Access Management,Authentication: LDAP,Access Meshery Server using your existing accounts and centrally manage repository access.,,Platform Engineer,Closed,Enterprise,Meshery Cloud,v0.9.0,,,,,,,X,,,,,db96233e-047b-4e2f-b4e3-419c038e4b26,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('db96233e-047b-4e2f-b4e3-419c038e4b26','','Identity & Access Management','Authentication: LDAP','Access Meshery Server using your existing accounts and centrally manage repository access.','', NOW(), uuid_nil())",,FALSE,,
Identity & Access Management,Authentication: SAML,Use an identity provider to manage the identities of GitHub users and applications.,,Platform Engineer,Closed,Enterprise,Meshery Cloud,v1.1.0,,,,,,,X,,,,,4d7cccf0-1831-4814-a5eb-2358b99c2870,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('4d7cccf0-1831-4814-a5eb-2358b99c2870','','Identity & Access Management','Authentication: SAML','Use an identity provider to manage the identities of GitHub users and applications.','', NOW(), uuid_nil())",,FALSE,,
Identity & Access Management,Authentication,Azure Active Directory,,Platform Engineer,Closed,Enterprise,Meshery Cloud,v0.9.0,,,,,,,X,,,,,59a839ba-277c-4e69-a559-2659a355bfa5,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('59a839ba-277c-4e69-a559-2659a355bfa5','','Identity & Access Management','Authentication','Azure Active Directory','', NOW(), uuid_nil())",,FALSE,,
Identity & Access Management,Authorization,Creation of permissions,,Platform Engineer,Closed,Enterprise,Meshery Cloud,v0.8.0,,,,,,,X,,,,,e013aebc-b245-451d-a330-423f629fa072,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('e013aebc-b245-451d-a330-423f629fa072','','Identity & Access Management','Authorization','Creation of permissions','', NOW(), uuid_nil())",,FALSE,,
Identity & Access Management,Authorization,Permissions: Keychains and Keys,,Platform Engineer,Closed,Enterprise,Meshery Cloud,v0.8.0,,,,,,,X,,,,,4c2bb161-93f1-4964-9227-faa0dcd9f03c,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('4c2bb161-93f1-4964-9227-faa0dcd9f03c','','Identity & Access Management','Authorization','Permissions: Keychains and Keys','', NOW(), uuid_nil())",,FALSE,,
Identity & Access Management,Authorization,Meshery as an IDP,,All,Closed,Team / Enterprise,Meshery Cloud,v2.0.0,,,,,,,X,,,,,dbaca3e3-2ece-4ab9-adc0-091689dcb4d6,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('dbaca3e3-2ece-4ab9-adc0-091689dcb4d6','','Identity & Access Management','Authorization','Meshery as an IDP','', NOW(), uuid_nil())",,FALSE,,
Identity & Access Management,Authorization,Generic OIDC,Own and control the user accounts of your enterprise members through your identity provider (IdP).,All,Closed,Team / Enterprise,Meshery Cloud,v0.7.0,,,,,,,X,,,,,0b3313eb-5c77-4dba-9074-122cfb01bf55,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('0b3313eb-5c77-4dba-9074-122cfb01bf55','','Identity & Access Management','Authorization','Generic OIDC','Own and control the user accounts of your enterprise members through your identity provider (IdP).', NOW(), uuid_nil())",,FALSE,,
Identity & Access Management,Users,View User Public Profile,"See public user profile details, public activities and public resources. ",,,Free,,,,,,,,,X,,,User Management,,daded1e9-ff0f-4259-86ac-e168fd5565d4,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('daded1e9-ff0f-4259-86ac-e168fd5565d4','User Management','Identity & Access Management','Users','View User Public Profile','See public user profile details, public activities and public resources. ', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Users,View User Settings,"See private user profile details, private activities and private resources. ",,,Free,,,,,,,,,X,,,User Management,,e00cae57-6dc6-41ac-b174-f3b01b4adce0,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('e00cae57-6dc6-41ac-b174-f3b01b4adce0','User Management','Identity & Access Management','Users','View User Settings','See private user profile details, private activities and private resources. ', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Users,View All Users,See all teams within an organization. See all members of all teams.,,,,,,,,,,,X,X,,,Organization Management,,382da488-9a92-4a5b-958d-c4bfe1e80253,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('382da488-9a92-4a5b-958d-c4bfe1e80253','Organization Management','Identity & Access Management','Users','View All Users','See all teams within an organization. See all members of all teams.', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Users,Update User Profile,Directly create a new user account within a team.,,,Free,,,,,,,,X,X,,,Team Management,,b9a86a74-d6e9-46e4-abae-fe5235ba0e26,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('b9a86a74-d6e9-46e4-abae-fe5235ba0e26','Team Management','Identity & Access Management','Users','Update User Profile','Directly create a new user account within a team.', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Users,Invite User to Team,Send a request for a user to join a team.,,,Team,,,,,,X,,X,X,,,Team Management,,d3478829-9281-468e-9d49-f7aa659d0f89,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('d3478829-9281-468e-9d49-f7aa659d0f89','Team Management','Identity & Access Management','Users','Invite User to Team','Send a request for a user to join a team.', NOW(), uuid_nil())",,FALSE,,
Identity & Access Management,Users,Remove User from Team,Discontinue user membership of a team and team resources.,,,Team,,,,,,X,,X,X,,,Team Management,,8b41825f-e840-42bf-81a8-2f962a6d134b,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('8b41825f-e840-42bf-81a8-2f962a6d134b','Team Management','Identity & Access Management','Users','Remove User from Team','Discontinue user membership of a team and team resources.', NOW(), uuid_nil())",,FALSE,,
Identity & Access Management,Users,Create Team,Establish new team for organizing groups of users and resource access.,,,,,,,,,X,,X,X,,,Team Management,,8608355a-bf35-4bd6-b339-2384d34ae2ed,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('8608355a-bf35-4bd6-b339-2384d34ae2ed','Team Management','Identity & Access Management','Users','Create Team','Establish new team for organizing groups of users and resource access.', NOW(), uuid_nil())",,FALSE,,
Identity & Access Management,Users,Delete Team,Dissolve a team and all user memberships. Leave associated resources intact.,,,,,,,,,X,,X,X,,,Team Management,,44ce4333-a138-42a3-9695-c6c1fcd2c301,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('44ce4333-a138-42a3-9695-c6c1fcd2c301','Team Management','Identity & Access Management','Users','Delete Team','Dissolve a team and all user memberships. Leave associated resources intact.', NOW(), uuid_nil())",,FALSE,,
Identity & Access Management,Users,Delete User,Delete a user account,,,Team,,,,,,X,,X,X,,,User Management,,8e077f96-c957-478f-aae1-0e96232dc3e7,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('8e077f96-c957-478f-aae1-0e96232dc3e7','User Management','Identity & Access Management','Users','Delete User','Delete a user account', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Users,Edit User,"Edit user role, name, email etc",,,Team,,,,,,X,,,X,,,User Management,,eb4dff91-a7c6-4167-aa2d-2e81539e6b62,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('eb4dff91-a7c6-4167-aa2d-2e81539e6b62','User Management','Identity & Access Management','Users','Edit User','Edit user role, name, email etc', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Users,Create User,Create a new user,,,,,,,,,X,,,X,,,User Management,,032582e1-c406-4c75-8732-4f2ada0191b3,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('032582e1-c406-4c75-8732-4f2ada0191b3','User Management','Identity & Access Management','Users','Create User','Create a new user', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Users,Leave Team,Leave a team,,,,,,,,,,,,X,,,User Management,,680b9fcb-6d8d-448d-8012-4b792d71c52e,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('680b9fcb-6d8d-448d-8012-4b792d71c52e','User Management','Identity & Access Management','Users','Leave Team','Leave a team', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Users,View All Kubernetes Clusters,View all kubernetes clusters,,,,,,,,,,,,,,,User View,,b99a9a0a-2cb9-4be7-8251-14a249e4038e,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('b99a9a0a-2cb9-4be7-8251-14a249e4038e','User View','Identity & Access Management','Users','View All Kubernetes Clusters','View all kubernetes clusters', NOW(), uuid_nil())",,FALSE,,
Identity & Access Management,Teams,View Team,See only teams to which you are a member. See all other members within those teams.,All,Closed,Team,Meshery Cloud,v0.7.0,,,X,X,,X,X,,,Team Management,,,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('','Team Management','Identity & Access Management','Teams','View Team','See only teams to which you are a member. See all other members within those teams.', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Teams,View Teams,See all teams of which you are an administrator. See all members of those teams.,All,Closed,Team,Meshery Cloud,v0.7.0,,,,X,,X,X,,,Team Management,,6ecbbe79-c392-43bd-b7b6-ecdec019e24c,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('6ecbbe79-c392-43bd-b7b6-ecdec019e24c','Team Management','Identity & Access Management','Teams','View Teams','See all teams of which you are an administrator. See all members of those teams.', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Teams,View All Teams,See all teams within an organization. See all members of all teams.,All,Closed,Team,Meshery Cloud,v0.7.0,,,,X,,X,X,,,Organization Management,,8b94dd6b-234f-4c89-86cf-b029e0090255,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('8b94dd6b-234f-4c89-86cf-b029e0090255','Organization Management','Identity & Access Management','Teams','View All Teams','See all teams within an organization. See all members of all teams.', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Teams,Add User to Team,Directly create a new user account within a team.,All,Closed,Team,Meshery Cloud,v0.7.0,,,,X,,X,X,,,Team Management,,88b9a857-d012-4c6d-a129-4ce65b63b018,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('88b9a857-d012-4c6d-a129-4ce65b63b018','Team Management','Identity & Access Management','Teams','Add User to Team','Directly create a new user account within a team.', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Teams,Invite User to Team,Send a request for a user to join a team.,All,Closed,Team,Meshery Cloud,v0.7.0,,,,X,,X,X,,,Team Management,,f224ecf3-b105-4d81-9886-77127073a6ca,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('f224ecf3-b105-4d81-9886-77127073a6ca','Team Management','Identity & Access Management','Teams','Invite User to Team','Send a request for a user to join a team.', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Teams,Remove User from Team,Discontinue user membership of a team and team resources.,All,Closed,Team,Meshery Cloud,v0.7.0,,,,X,,X,X,,,Team Management,,e996c998-a50f-4cb8-ae7b-77127073a6ca,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('e996c998-a50f-4cb8-ae7b-77127073a6ca','Team Management','Identity & Access Management','Teams','Remove User from Team','Discontinue user membership of a team and team resources.', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Teams,Create Team,Establish new team for organizing groups of users and resource access.,All,Closed,Team,Meshery Cloud,v0.7.0,,,,X,,X,X,,,Team Management,,41a9eb36-b99b-4715-8140-780f97d3c6a0,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('41a9eb36-b99b-4715-8140-780f97d3c6a0','Team Management','Identity & Access Management','Teams','Create Team','Establish new team for organizing groups of users and resource access.', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Teams,Delete Team,Dissolve a team and all user memberships. Leave associated resources intact.,All,Closed,Team,Meshery Cloud,v0.7.0,,,,X,,X,X,,,Team Management,,bbb691b6-8664-44c7-8ea7-9c46b1ca1e8b,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('bbb691b6-8664-44c7-8ea7-9c46b1ca1e8b','Team Management','Identity & Access Management','Teams','Delete Team','Dissolve a team and all user memberships. Leave associated resources intact.', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Teams,Edit Team,Edit a team and add new members to it. ,,,,,,,,,X,,X,X,,,Team Management,,6cf69881-0be0-4723-b5f0-031b7847509a,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('6cf69881-0be0-4723-b5f0-031b7847509a','Team Management','Identity & Access Management','Teams','Edit Team','Edit a team and add new members to it. ', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Teams,Remove User Role from Team,Remove a user role from a team. ,,,Team,,,,,,X,,X,X,,,Team Management,,ed3dbd2d-52f8-4608-87e0-7f2999a4518c,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('ed3dbd2d-52f8-4608-87e0-7f2999a4518c','Team Management','Identity & Access Management','Teams','Remove User Role from Team','Remove a user role from a team. ', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Teams,Assign User Role in a Team,Assign a user role in a team,,,,,,,,,X,,X,X,,,Team Management,,06f33eca-950c-4daa-b46d-e73af39e0868,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('06f33eca-950c-4daa-b46d-e73af39e0868','Team Management','Identity & Access Management','Teams','Assign User Role in a Team','Assign a user role in a team', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Teams,,,All,Closed,Team,Meshery Cloud,v0.7.0,,,,,,,X,,,,,,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('','','Identity & Access Management','Teams','','', NOW(), uuid_nil())",,FALSE,,
Identity & Access Management,Organizations,Create Organization,"Establish new organization for organizing teams, users, and resource access.",Platform Engineer,Closed,Enterprise,Meshery Cloud,v0.7.0,,,,,,X,X,,,Organization Management,,17a6fa82-cdab-46db-a7ce-a9d0a1bbf40f,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('17a6fa82-cdab-46db-a7ce-a9d0a1bbf40f','Organization Management','Identity & Access Management','Organizations','Create Organization','Establish new organization for organizing teams, users, and resource access.', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Organizations,Edit Organization,Edit organiaztions and add teams to it,,,,,,,,,,,X,X,,,Organization Management,,d39a34fb-0ccf-4c80-8a6c-b545c8db869a,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('d39a34fb-0ccf-4c80-8a6c-b545c8db869a','Organization Management','Identity & Access Management','Organizations','Edit Organization','Edit organiaztions and add teams to it', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Organizations,Add User to Organization,Directly create a new user account within an organization.,All,Closed,Enterprise,Meshery Cloud,v0.7.5,,,,,X,X,X,,,Organization Management,,33bf7a57-f787-4208-b01c-ad9b9d9c6b6c,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('33bf7a57-f787-4208-b01c-ad9b9d9c6b6c','Organization Management','Identity & Access Management','Organizations','Add User to Organization','Directly create a new user account within an organization.', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Organizations,Invite User to Organization,Send a request for a user to join an organization.,All,Closed,Enterprise,Meshery Cloud,v0.7.5,,,,,X,X,X,,,Organization Management,,c8489026-11ab-4753-a445-8e20fc032c38,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('c8489026-11ab-4753-a445-8e20fc032c38','Organization Management','Identity & Access Management','Organizations','Invite User to Organization','Send a request for a user to join an organization.', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Organizations,Remove User from Organization,"Discontinue user access to organization, teams and resources; cease billing accrual.",All,Closed,Enterprise,Meshery Cloud,v0.7.5,,,,,X,X,X,,,Organization Management,,3ed858e4-418d-4220-9d4c-a217fd466d86,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('3ed858e4-418d-4220-9d4c-a217fd466d86','Organization Management','Identity & Access Management','Organizations','Remove User from Organization','Discontinue user access to organization, teams and resources; cease billing accrual.', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Organizations,Promote or Demote User to Org Admin,Elevate or remove organization level administrative privileges.,All,Closed,Enterprise,Meshery Cloud,v0.7.5,,,,,X,X,X,,,Organization Management,,0ddd82df-27ed-4781-a91a-ec1dbeb620d0,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('0ddd82df-27ed-4781-a91a-ec1dbeb620d0','Organization Management','Identity & Access Management','Organizations','Promote or Demote User to Org Admin','Elevate or remove organization level administrative privileges.', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Organizations,View Org,See only organizations to which you are a member. See all other members within your membership teams.,All,Closed,Enterprise,Meshery Cloud,v0.7.5,,,,,X,X,X,,,Organization Management,,49f02947-0c8d-4b2d-af53-f50ce18f8861,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('49f02947-0c8d-4b2d-af53-f50ce18f8861','Organization Management','Identity & Access Management','Organizations','View Org','See only organizations to which you are a member. See all other members within your membership teams.', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Organizations,View Organizations,See all organizations of which you are an administrator. See all members of those organizations.,All,Closed,Enterprise,Meshery Cloud,v0.7.5,,,,,X,X,X,,,Organization Management,,172fa7d3-0d8a-4646-a789-bf64f52ba40b,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('172fa7d3-0d8a-4646-a789-bf64f52ba40b','Organization Management','Identity & Access Management','Organizations','View Organizations','See all organizations of which you are an administrator. See all members of those organizations.', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Organizations,View All Organizations,"See all organizations within a Layer5 Cloud deployment. See all organizations, teams, and users.",All,Closed,Enterprise,Meshery Cloud,v0.7.5,,,,,,X,X,,,Organization Management,,e996c998-a50f-4cb8-ae7b-f2f1b523c971,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('e996c998-a50f-4cb8-ae7b-f2f1b523c971','Organization Management','Identity & Access Management','Organizations','View All Organizations','See all organizations within a Layer5 Cloud deployment. See all organizations, teams, and users.', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Organizations,Remove User Role from Org,Remove a user role from a org. ,All,Closed,Enterprise,Meshery Cloud,v0.7.5,,,,,,X,X,,,Organization Management,,8a003a11-a909-425a-bd23-d8ba14972c89,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('8a003a11-a909-425a-bd23-d8ba14972c89','Organization Management','Identity & Access Management','Organizations','Remove User Role from Org','Remove a user role from a org. ', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Organizations,Assign User Role in a Org,Assign a user role from a org,All,Closed,Enterprise,Meshery Cloud,v0.7.5,,,,,,X,X,,,Organization Management,,0d455711-6205-422b-9de7-05933fe2aeb2,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('0d455711-6205-422b-9de7-05933fe2aeb2','Organization Management','Identity & Access Management','Organizations','Assign User Role in a Org','Assign a user role from a org', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Organizations,Transfer Organization Ownership,Transfer organization ownership to another member of the organization.	,All,Closed,Enterprise,Meshery Cloud,v0.7.5,,,,,X,X,X,,,Organization Management,,c81764a3-9fb1-451e-8e80-693cba6f79bf,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('c81764a3-9fb1-451e-8e80-693cba6f79bf','Organization Management','Identity & Access Management','Organizations','Transfer Organization Ownership','Transfer organization ownership to another member of the organization.	', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Organizations,Delete Organization,Decommission organization and suspend account from additional accruals.,All,Closed,Enterprise,Meshery Cloud,v0.7.5,,,,,X,X,X,,,Organization Management,,b3dc083c-fe8e-43a9-9bcd-ed93d4584f55,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('b3dc083c-fe8e-43a9-9bcd-ed93d4584f55','46decdfb-0157-48ba-a363-5e20146703be','Identity & Access Management','Organizations','Delete Organization','Decommission organization and suspend account from additional accruals.', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Roles,View All Roles,,All,Closed,Team,Meshery Cloud,v0.7.0,,,X,X,,X,X,,,User View,,9a84a5d0-0a16-11ee-be56-0242ac120002,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('9a84a5d0-0a16-11ee-be56-0242ac120002','46decdfb-0157-48ba-a363-5e20146703bb','Identity & Access Management','Roles','View All Roles','', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Roles,Assign User Roles,,All,Closed,Team,Meshery Cloud,v0.7.0,,,,X,,X,X,,,User Management,,9a84a76a-0a16-11ee-be56-0242ac120002,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('9a84a76a-0a16-11ee-be56-0242ac120002','46decdfb-0157-48ba-a363-5e20146703bb','Identity & Access Management','Roles','Assign User Roles','', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Roles,Assign Keychains to Roles,,All,Closed,Team,Meshery Cloud,v0.7.0,,,,X,,X,X,,,User Management,,9a84abb6-0a16-11ee-be56-0242ac120002,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('9a84abb6-0a16-11ee-be56-0242ac120002','46decdfb-0157-48ba-a363-5e20146703bb','Identity & Access Management','Roles','Assign Keychains to Roles','', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Roles,Create Custom Roles,,All,Closed,Team,Meshery Cloud,v0.7.0,,,,X,,X,X,,,User Management,,9a84ad00-0a16-11ee-be56-0242ac120002,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('9a84ad00-0a16-11ee-be56-0242ac120002','User Management','Identity & Access Management','Roles','Create Custom Roles','', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Roles,Update Custom Roles,,All,Closed,Team,Meshery Cloud,v0.7.0,,,,X,,X,X,,,User Management,,9a84ad07-0a16-11ee-be56-0242ac120002,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('9a84ad07-0a16-11ee-be56-0242ac120002','User Management','Identity & Access Management','Roles','Update Custom Roles','', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Roles,Delete Custom Roles,Delete a user's role permanently,All,Closed,Team,Meshery Cloud,v0.7.0,,,,X,,X,X,,,User Management,,19b3b3a3-7dc9-4e2f-b984-69241ec90fc8,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('19b3b3a3-7dc9-4e2f-b984-69241ec90fc8','User Management','Identity & Access Management','Roles','Delete Custom Roles','Delete a user's role permanently', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Roles,Export Custom Roles,,All,Closed,Enterprise,Meshery Cloud,v0.7.0,,,,X,,X,X,,,User Management,,9274af31-5166-4876-ab44-27f458c5082c,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('9274af31-5166-4876-ab44-27f458c5082c','User Management','Identity & Access Management','Roles','Export Custom Roles','', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Access Requests,View All Access Requests,,,,,,,,,,,,X,X,,,Organization Management,,070153eb-6dd5-4aad-95b4-fb0444c88a89,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('070153eb-6dd5-4aad-95b4-fb0444c88a89','Organization Management','Identity & Access Management','Access Requests','View All Access Requests','', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Access Requests,Accept Access Request,,,,,,,,,,,,X,X,,,Organization Management,,afded44a-8b17-4d4d-bfc3-a76eadcc37fe,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('afded44a-8b17-4d4d-bfc3-a76eadcc37fe','Organization Management','Identity & Access Management','Access Requests','Accept Access Request','', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Access Requests,Deny Access Request,,,,,,,,,,,,X,X,,,Organization Management,,f25bea25-a33b-40e9-9621-bbc30888c11b,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)VALUES ('f25bea25-a33b-40e9-9621-bbc30888c11b','Organization Management','Identity & Access Management','Access Requests','Deny Access Request','', NOW(), uuid_nil())",X,FALSE,,
Identity & Access Management,Keychains,User View,Default keychain for individual users.,All,Closed,Free,Meshery Cloud,v0.7.0,,,,,,,,,,46decdfb-0157-48ba-a363-5e20146703ba,"INSERT INTO keychains (id, name, created_at, owner)VALUES ('46decdfb-0157-48ba-a363-5e20146703ba','User View', NOW(), uuid_nil())",,,X,FALSE,,
Identity & Access Management,Keychains,User Management,Default keychain for management of users and their roles.,All,Closed,Free,Meshery Cloud,v0.7.0,,,,,,,,,,46decdfb-0157-48ba-a363-5e20146703bb,"INSERT INTO keychains (id, name, created_at, owner)VALUES ('46decdfb-0157-48ba-a363-5e20146703bb','User Management', NOW(), uuid_nil())",,,X,FALSE,,
Identity & Access Management,Keychains,Team View,Default keychain for management of teams and user membership.,All,Closed,Free,Meshery Cloud,v0.7.0,,,,,,,,,,46decdfb-0157-48ba-a363-5e20146703bc,"INSERT INTO keychains (id, name, created_at, owner)VALUES ('46decdfb-0157-48ba-a363-5e20146703bc','Team View', NOW(), uuid_nil())",,,X,FALSE,,4497
